Phylome Id:             	3
Phylome Name:           	Yeast phylome (P60)
Seed Species:           	Saccharomyces cerevisiae
Seed Taxa Id:           	4932
Seed Proteome:          	YEAST.2
Creation date:          	2008-02-27
Comments:               	S. cerevisiae phylome made from 60 completely sequenced fungal species
-----
Longest isoforms:       	6634
Seed proteins with aligments:	5902	(88.97%)
Seed proteins with trees:	5722	(86.25%)
-----
TaxaID 	Proteome	Date      	Longest 	Source          	Species Name
38033  	CHAGB.1 	2007-04-01	11074   	Broad_Institute 	Chaetomium globosum
40559  	BOTFU.1 	2007-04-01	16400   	Broad_Institute 	Botrytis fuckeliana
42374  	CANDU.1 	2007-04-01	6588    	Fungal_Genomes  	Candida dubliniensis
51453  	TRIRE.1 	2007-04-01	9128    	JGI             	Trichoderma reesei
64495  	RHIOR.1 	2007-04-01	16979   	Broad_Institute 	Rhizopus oryzae
109871 	BATDE.1 	2007-04-01	8737    	Broad_Institute 	Batrachochytrium dendrobatidis
114524 	SACKU.1 	2007-04-01	6013    	Fungal_Genomes  	Saccharomyces kudriavzevii
114525 	SACMI.1 	2007-04-01	5679    	Fungal_Genomes  	Saccharomyces mikatae
117187 	GIBMO.1 	2007-04-01	14161   	Broad_Institute 	Gibberella moniliformis
140110 	NECHA.1 	2007-11-01	15678   	JGI             	Nectria haematococca
148305 	MAGGR.1 	2007-04-01	12693   	Broad_Institute 	Magnaporthe grisea
162425 	EMENI.1 	2007-04-01	9400    	NCBI            	Emericella nidulans
284811 	ASHGO.2 	2007-04-01	4717    	NCBI            	Ashbya gossypii ATCC 10895
284812 	SCHPO.1 	2006-06-01	4965    	integr8         	Schizosaccharomyces pombe (strain 972/ATCC 24843)
321614 	PHANO.1 	2007-04-01	16493   	Broad_Institute 	Phaeosphaeria nodorum SN15
330879 	ASPFU.1 	2007-11-01	9629    	Broad_Institute 	Aspergillus fumigatus
331117 	NEOFI.1 	2007-04-01	10405   	TIGR            	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / FGSC A1164 / NRRL 181)
336963 	UNCRE.1 	2007-04-01	7771    	Broad_Institute 	Uncinocarpus reesii (strain UAMH 1704)
365493 	365493.1	2007-04-01	5514    	JGI             	Sporobolomyces roseus IAM 13481
383855 	383855.1	2007-11-01	10308   	JGI             	Mycosphaerella fijiensis CIRAD86
436907 	VANPO.1 	2007-11-01	5467    	YGOB            	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294)
561896 	POSPM.1 	2007-11-01	16929   	JGI             	Postia placenta (strain ATCC 44394 / Madison 698-R)
